,id,object_name,address,chain,object_type,number,street
2865,14651,THE GREAT AMERICAN GRILL & B,2005 N HIGHLAND AVE,False,Restaurant,128,N HIGHLAND AVE
2866,14652,BONAVENTURE BONAVISTA LOUNGE,404 S FIGUEROA ST 34TH,False,Restaurant,178,S FIGUEROA ST 34TH
2867,14653,HIGH RISE CAFE,404 S FIGUEROA ST # 402,False,Restaurant,10,S FIGUEROA ST
2868,14654,BURGER FACTORY #1,5802 SANTA MONICA BLVD,True,Fast Food,20,SANTA MONICA BLVD
2869,14655,FAT BURGER BUFFELO CAFE,3150 WILSHIRE BLVD # 116,True,Fast Food,122,WILSHIRE BLVD
2870,14656,SHINTARO,1900 N HIGHLAND AVE STE #5,False,Restaurant,34,N HIGHLAND AVE 
2871,14657,LA INDIANA HOME MADE TAMALES,1142 S INDIANA ST,False,Restaurant,5,S INDIANA ST
2872,14658,DOSANKO RAMEN,11555 OLYMPIC BLVD UNIT B,True,Restaurant,45,OLYMPIC BLVD 
2873,14659,SNOW WHITE CAFE,6769 HOLLYWOOD BLVD,False,Restaurant,47,HOLLYWOOD BLVD
2874,14660,ACA GRILL,1300 S SAN PEDRO ST STE 220,True,Restaurant,118,S SAN PEDRO ST 
2875,14661,DODGER STADIUM,1000 VIN SCULLY AVE,False,Restaurant,215,VIN SCULLY AVE
2876,14662,ROLL CALL,3183 WILSHIRE BLVD STE 186,False,Restaurant,35,WILSHIRE BLVD 
2877,14663,RUNNING GOOSE,1620 N CAHUENGA BLVD,False,Restaurant,92,N CAHUENGA BLVD
2878,14664,CHIPOTLE MEXICAN GRILL #1310,1460 N VINE ST,True,Restaurant,36,N VINE ST
2879,14665,CAFE GIOIA,3055 WILSHIRE BLVD STE 120,False,Restaurant,44,WILSHIRE BLVD 
2880,14666,CAPRI RESTAURANT,4604 EAGLE ROCK BLVD,True,Restaurant,47,EAGLE ROCK BLVD
2881,14667,KING BOWL,2214 W SUNSET BLVD,False,Restaurant,24,W SUNSET BLVD
2882,14668,PATIO BURGERS AND BEER,4541 EAGLE ROCK BLVD,False,Fast Food,46,EAGLE ROCK BLVD
2883,14669,EL COCHINITO INC,3508 W SUNSET BLVD,False,Restaurant,12,W SUNSET BLVD
2884,14670,MARIELA'S TACO #2,2501 W SUNSET BLVD #E,False,Fast Food,10,W SUNSET BLVD
2885,14671,SUBWAY #45825,3504 W SUNSET BLVD,True,Fast Food,7,W SUNSET BLVD
2886,14672,LOS BURRITOS,1312 ECHO PARK AVE,True,Restaurant,15,ECHO PARK AVE
2887,14673,PUBLIC,7000 HOLLYWOOD BLVD,False,Restaurant,136,HOLLYWOOD BLVD
2888,14674,CAFE SPOT,3324 W 6TH ST # C,False,Restaurant,37,W 6TH ST
2889,14675,SUBWAY #28619,3112 N GLENDALE BLVD,True,Fast Food,15,N GLENDALE BLVD
2890,14676,THE BLACK SHEEP,126 E 6TH ST,False,Restaurant,49,E 6TH ST
2891,14677,HOLLYWOOD JUICE BAR,7021 HOLLYWOOD BLVD,True,Bar,4,HOLLYWOOD BLVD
2892,14678,WI SPA,2700 WILSHIRE BLVD,False,Restaurant,37,WILSHIRE BLVD
2893,14679,BELCAMPO MEAT COMAPNY,317 S BROADWAY ST F9- F10,True,Restaurant,24,S BROADWAY ST F9- F10
2894,14680,TACOS TUMBRAS FOOD PREP RM,317 S BROADWAY # 4CC/1,True,Fast Food,19,S BROADWAY
2895,14681,PROOF BAKERY,3156 GLENDALE BLVD,True,Bakery,16,GLENDALE BLVD
2896,14682,M.A.D COOKIN,7001 CENTRAL AVE,False,Restaurant,182,CENTRAL AVE
2897,14683,EL CHARRO RESTAURANT,1621 W 6TH ST,True,Restaurant,21,W 6TH ST
2898,14684,DUNKIN' DONUTS,3100 GLENDALE BLVD # A,True,Fast Food,8,GLENDALE BLVD
2899,14685,FONUTS,8104 W 3RD ST,False,Restaurant,10,W 3RD ST
2900,14686,PANDA EXPRESS # 2466,1603 WILSHIRE BLVD,True,Fast Food,49,WILSHIRE BLVD
2901,14687,SABOR LATINO Y BAKERY RESTAURANT,2722 W PICO BLVD,True,Bakery,5,W PICO BLVD
2902,14688,URBNMRKT,3434 S GRAND AVE,False,Restaurant,43,S GRAND AVE
2903,14689,SPRING ST,626 S SPRING ST STE B,False,Restaurant,73,S SPRING ST 
2904,14690,25 DEGREES,7000 HOLLYWOOD BLVD,False,Restaurant,34,HOLLYWOOD BLVD
2905,14691,MIGNON,128 E 6TH ST,False,Restaurant,13,E 6TH ST
2906,14692,LEI ALOHA,5622 W MANCHESTER AVE,False,Restaurant,37,W MANCHESTER AVE
2907,14693,CHINESE HOUSE HAOCHI,3280 W 6TH ST,False,Restaurant,14,W 6TH ST
2908,14694,BUTTERFLY DREAM,5706 SANTA MONICA BLVD,False,Restaurant,5,SANTA MONICA BLVD
2909,14695,PA ORD NOODLES 3,5269 HOLLYWOOD BLVD,True,Restaurant,24,HOLLYWOOD BLVD
2910,14696,RUBIO'S CAFE,3380 S ROBERTSON BLVD,False,Restaurant,21,S ROBERTSON BLVD
2911,14697,GOLDEN POUCH,3324 W 6TH ST # E1,False,Restaurant,5,W 6TH ST
2912,14698,THE COFFEE BEAN & TEA LEAF,5979 W 3RD ST,True,Cafe,7,W 3RD ST
